Product_id,PLU,COMMODITY,VARIETY
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1,3000,APPLES,Alkmene
2,3001,APPLES,Aurora/Southern Rose
3,3002,APPLES,Cantared
4,3003,APPLES,D'Estivale
5,3004,APPLES,Discovery
6,3005,APPLES,Golden Delicious Blush
7,3006,APPLES,Ingrid Marie
8,3007,APPLES,Lochbuie
9,3008,APPLES,Rubinette
10,3009,APPLES,Russet
11,3010,APPLES,Cripps Red
12,3011,APPLES,Worcester
13,3012,PEARS,Abate Fetel
14,3013,PEARS,Beurre Hardy
15,3014,PEARS,Bon Rouge
16,3015,PEARS,Clara Friis
17,3016,PEARS,Concorde
18,3017,PEARS,Conference
19,3018,PEARS,Durondeau
20,3019,PEARS,Flamingo
21,3020,PEARS,General Leclerc
22,3021,PEARS,Guyot
23,3022,PEARS,Josephine
24,3023,PEARS,Passe Crassane
25,3024,PEARS,Rocha
26,3025,PEARS,Rosemarie
27,3026,PEARS,Triumph de Vienne
28,3027,ORANGES,Shamouti
29,3028,ORANGES,Delta Seedless
30,3029,TANGERINES/MANDARINS,Satsuma
31,3030,TANGERINES/MANDARINS,Nova
32,3031,TANGERINES/MANDARINS,Jamaican Tangor
33,3032,TANGERINES/MANDARINS,Ellendale
34,3033,MELON,Charentais
35,3034,MELON,Charentais
36,3035,NECTARINE,"White Flesh, Tree Ripened, Ready-to-eat"
37,3036,ORANGES,Midknight
38,3037,PINEAPPLE,Queen
39,3038,PASSION FRUIT,Granadilla
40,3039,PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY,
41,3040,PITAHAYA,Red (skin color)
42,3041,RAMBUTAN,
43,3042,MANGOSTEEN,
44,3043,GRAPES,Italia
45,3044,APRICOTS,Black
46,3045,DATES,Fresh
47,3046,DATES,Fresh
48,3047,DATES,Medjool
49,3048,BEANS,Helda/Flat
50,3049,BEANS,Fine
51,3050,CABBAGE,Dutch White/Winter White
52,3051,CABBAGE,Spring Cabbage/Spring Greens
53,3052,GARLIC,String
54,3053,PARSNIP,Baby
55,3054,PEPPERS (CAPSICUMS),Elongated
56,3055,PEPPERS (CAPSICUMS),Elongated
57,3056,PEPPERS (CAPSICUMS),Elongated
58,3057,PEPPERS (CAPSICUMS),Elongated
59,3058,PEPPERS (CAPSICUMS),Elongated
60,3059,SQUASH,Crown Prince
61,3060,SQUASH,Vegetable Marrow
62,3061,TOMATOES,Beef/Beefsteak
63,3062,BAY LEAVES,
64,3063,FENNEL LEAVES,
65,3064,ALOE VERA LEAVES,
66,3065,APPLES,Cameo
67,3066,APPLES,Cameo
68,3067,APPLES,Swiss Gourmet
69,3068,APPLES,Swiss Gourmet
70,3069,APPLES,Gravenstein
71,3070,APPLES,Gravenstein
72,3071,APPLES,Granny Smith
73,3072,APPLES,Lady
74,3073,APPLES,Macoun
75,3074,APPLES,Greening (RI)
76,3075,APPLES,Baldwin
77,3076,APPLES,Melrose
