,address,city,state,postal_code
1,3100 Cahaba Village Plaza,Birmingham,AL,35243
2,3968 Airport Blvd,Mobile,AL,36608
3,2501 Memorial Pkwy SW,Huntsville,AL,35801
4,3780 Riverchase Village,Hoover,AL,35244
5,1450 Taylor Rd,Montgomery,AL,36117
6,3425 N. College Avenue,Fayetteville,AR,72703
7,501 Bowman Road,Little Rock,AR,72211
8,3360 E. Speedway Blvd.,Tucson,AZ,85716
9,10810 N Tatum Blvd,Phoenix,AZ,85028
10,4701 N 20th Street,Phoenix,AZ,85016
11,2955 West Ray Road,Chandler,AZ,85225
12,1420 West Hwy. 89A,Sedona,AZ,86336
13,7133 N Oracle Rd,Tucson,AZ,85704
14,320 S. Cambridge Lane,Flagstaff,AZ,86001
15,5555 E. River Road,Tucson,AZ,85750-1949
16,7111 East Mayo Boulevard,Phoenix,AZ,85054
17,5120 S. Rural Rd,Tempe,AZ,85282
18,925 Main St,West Vancouver,BC,V7T 2Z3
19,4420 Lougheed Highway,Burnaby,BC,V5C 3Z3
20,1675 Robson Street,Vancouver,BC,V6G 1C8
21,510 West 8th Avenue,Vancouver,BC,V5Z 1C5
22,3587 Blanshard St,Victoria,BC,V8Z 0B9
23,2285 West 4th Avenue,Vancouver,BC,V6K 1N9
24,120 East 13th Street,North Vancouver,BC,V7L 4W8
25,19340 Rinaldi Street,Northridge,CA,91326
26,405 North Pacific Coast Hwy,Redondo Beach,CA,90277
27,1250 Jefferson Ave,Redwood City,CA,94062
28,1001 Galleria Blvd.,Roseville,CA,95678
29,450 Rhode Island St,San Francisco,CA,94107
30,621 E. Washington St,Petaluma,CA,94952
31,760 South Sepulveda Blvd.,El Segundo,CA,90245
32,3761 State Street,Santa Barbara,CA,93105
33,3751 E. Foothill Blvd.,Pasadena,CA,91107
34,774 Emerson Street,Palo Alto,CA,94301
35,6910 McKinley St,Sebastopol,CA,95472
36,100 Sunset Drive,San Ramon,CA,94583
37,2655 Pacific Coast Hwy,Torrance,CA,90505
38,15980 Los Gatos Blvd,Los Gatos,CA,95032
39,3682 Bel Aire Plaza,Napa,CA,94558
