Product;UPC
ALASKAN COD CAKES   ;99482453046
ALASKAN COD CAKES   ;99482453039
ALBACORE WILD TUNA IN WATER   ;99482470685
ALKALINE WATER   ;99482464967
ALKALINE WATER   ;99482464974
ALL DRESSED POTATO CHIPS   ;99482463915
ALMOND BUTTER   ;99482465773
ALMONDMILK BEVERAGE   ;99482467081
ALMOND MILK FROZEN DESSERT   ;99482469641
ALMONDMILK   ;99482436230
ALMONDMILK   ;99482443498
ALMONDS   ;99482453299
ANGEL FOOD CAKE RASPBERRY   ;99482137359
ANIMAL COOKIES   ;99482417376
APPLE FROM CONCENTRATE   ;99482420963
APPLE SAUCE   ;99482465360
APPLE SAUCE   ;99482435653
APRICOT GOAT CHEESE SPREAD   ;99482802356
ARTICHOKE HEARTS   ;99482404062
ATLANTIC SALMON FILLETS   ;99482460945
ATLANTIC WHITE SHRIMP   ;99482448707
BAKED CRACKERS   ;99482406905
BAKING CHUNKS   ;99482447038
BAKING POWDER   ;99482427948
BARBECUE PEANUTS   ;99482464264
BEEF BROTH   ;99482442538
BEEF TAQUITOS   ;99482443962
BEER BATTERED COD FILLETS   ;99482453077
BELGIAN LITTLE BITES   ;99482417871
BERRY BLEND   ;99482466398
BERRY BOUNTY TRAIL MIX   ;99482436322
BERRY MEDLEY   ;99482401290
BLACK BEANS   ;99482414221
BLACK BEANS   ;99482421168
BLACK-EYED PEAS   ;99482441623
BLACK PEPPERCORN SHRIMP POPPERS   ;99482461041
BLACK SESAME RICE CRACKERS   ;99482463694
BLACK TEA   ;99482456115
BLANCHED SHELLED EDAMAME SOYBEANS   ;99482462963
BLUE CATFISH FILLETS   ;99482460952
BREAD & CIRCUS BAKEHOUSE  ORGANIC CHALLAH BUN   ;99482137366
BREAD CRUMBS   ;99482450380
BREAKFAST SAUSAGE   ;99482465278
BREAKFAST SAUSAGE   ;99482465247
BRIOCHE ROLLS   ;99482468767
BROCCOLI & CHEESE SOUP   ;99482803704
BROCCOLI & CHEESE SOUP   ;99482801526
BROTH   ;99482460273
BROWNIE MIX   ;99482468262
BROWNIES   ;99482466282
BURGER BUNS   ;99482137274
BUTTER COOKIES   ;99482461423
BUTTERFLY SHRIMP   ;99482461010
BUTTERNUT SQUASH BISQUE   ;99482801649
BUTTER SHORTBREAD   ;99482463274
CAGE-FREE LARGE BROWN EGGS   ;99482463472
CANDIED WALNUTS   ;99482465087
CANDY CANE PRETZEL FLATS   ;99482452834
CANE SUGAR   ;99482424121
CANNELLINI BEANS   ;99482414306
CANOLA OIL   ;99482450762
CANOLA OIL   ;99482454357
CAPE COD TRAIL MIX   ;99482463373
CARAMEL COATED SORGHUM & NUT CLUSTERS   ;99482463700
CARAMEL SEA SALT CHOCOLATE CHIP   ;99482461409
CARIBBEAN BARBECUE SEASONING   ;99482406851
CARIBBEAN MIX FRUIT BARS   ;99482413439
CASHEWS   ;99482434236
CASHEWS   ;99482463397
CEREAL BARS   ;99482409326
CEREAL BARS   ;99482409302
CHEDDAR CHEESE BALL   ;99482460846
CHEDDAR CHEESE   ;99482459987
CHEDDAR CHEESE   ;99482412463
CHEESECAKE SANDWICH CREMES   ;99482443016
CHEESE RAVIOLI IN TOMATO SAUCE   ;99482417956
CHEESE   ;99482420574
CHICKEN BROTH   ;99482442514
CHICKEN NOODLE SOUP   ;99482460150
CHICKEN TORTILLA SOUP   ;99482801533
CHICKEN WITH RICE SOUP   ;99482806590
CHICKEN WITH RICE SOUP   ;99482806293
CHOCOLATE BROWNIES   ;99482466190
CHOCOLATE CANDY CANE SANDWICH CREMES   ;99482442989
CHOCOLATE CHIP COOKIES   ;99482421328
CHOCOLATE CREPES   ;99482468781
CHOCOLATE MILK   ;99482430535
CHOCOLATE SPRINKLES   ;99482471064
CHOCOLATE TRUFFLES   ;99482405793
CHOPPED SALAD KIT   ;99482469351
CHOWDER   ;99482466923
CHUNK WHITE ALBACORE TUNA IN WATER   ;99482464295
CINNAMON ROLLS   ;99482466206
CLASSIC CHOCOLATE CAKE MIX   ;99482468309
CLASSIC CREPES   ;99482468774
CLASSIC ENGLISH MUFFINS   ;99482456030
COCONUT MACAROONS   ;99482466220
COCONUT WATER   ;99482444105
COCONUT WATER   ;99482444143
COCONUT WHIPPED TOPPING   ;99482466374
COLA   ;99482439316
COLBY JACK CHEESE   ;99482459642
COLD PROCESSED OLIVE OIL   ;99482400064
CONDENSED MILK   ;99482451363
COOKIES   ;99482421311
COOKIES   ;99482466299
CORNBREAD & MUFFIN MIX   ;99482468279
